,Unnamed: 0,name,lat,lon,category,type,geometry,density
39,3,Update,47.365163,8.548227,Design Studio,"{'typepoint': {'type': 'Point', 'coordinates': [47.365163, 8.548227]}}",POINT (8.548227 47.365163),20
40,4,MetaDesign,47.367027,8.546881,Design Studio,"{'typepoint': {'type': 'Point', 'coordinates': [47.367027, 8.546881]}}",POINT (8.546881 47.367027),21
41,5,Geissbühler,47.366239,8.545675,Design Studio,"{'typepoint': {'type': 'Point', 'coordinates': [47.366239, 8.545675]}}",POINT (8.545675 47.366239),20
42,6,heimoto AG,47.363626,8.553061,Design Studio,"{'typepoint': {'type': 'Point', 'coordinates': [47.363626, 8.553061]}}",POINT (8.553061 47.363626),12
43,7,Hugo Peters,47.368721,8.544267,Design Studio,"{'typepoint': {'type': 'Point', 'coordinates': [47.368721, 8.544267]}}",POINT (8.544267 47.368721),20
44,11,Einzigart im Seefeld,47.360015,8.55239,Design Studio,"{'typepoint': {'type': 'Point', 'coordinates': [47.360015, 8.55239]}}",POINT (8.55239 47.360015),13
45,12,Blickfang,47.365693,8.538365,Design Studio,"{'typepoint': {'type': 'Point', 'coordinates': [47.365693, 8.538365]}}",POINT (8.538365 47.365693),17
46,14,Fotoplast,47.367637,8.537452,Design Studio,"{'typepoint': {'type': 'Point', 'coordinates': [47.367637, 8.537452]}}",POINT (8.537452 47.367637),25
47,15,Modestrom,47.360564,8.552509,Design Studio,"{'typepoint': {'type': 'Point', 'coordinates': [47.360564, 8.552509]}}",POINT (8.552509 47.360564),14
48,16,biscuitfabrik by Atelier Zürich,47.358264,8.553609,Design Studio,"{'typepoint': {'type': 'Point', 'coordinates': [47.358264, 8.553609]}}",POINT (8.553609 47.358264),8
49,17,Schweizer Heimatwerk Genossenschaft,47.374254,8.541756,Design Studio,"{'typepoint': {'type': 'Point', 'coordinates': [47.374254, 8.541756]}}",POINT (8.541756 47.374254),41
50,18,Decolargo Showroom,47.357735,8.554718,Design Studio,"{'typepoint': {'type': 'Point', 'coordinates': [47.357735, 8.554718]}}",POINT (8.554718 47.357735),8
51,19,Enea,47.374638,8.540287,Design Studio,"{'typepoint': {'type': 'Point', 'coordinates': [47.374638, 8.540287]}}",POINT (8.540287 47.374638),44
52,20,NAVYBOOT Shop,47.374203,8.538167,Design Studio,"{'typepoint': {'type': 'Point', 'coordinates': [47.374203, 8.538167]}}",POINT (8.538167 47.374203),48
53,21,Biscuitfabrik,47.365207,8.533697,Design Studio,"{'typepoint': {'type': 'Point', 'coordinates': [47.365207, 8.533697]}}",POINT (8.533697 47.365207),18
54,22,Blondino,47.365092,8.533618,Design Studio,"{'typepoint': {'type': 'Point', 'coordinates': [47.365092, 8.533618]}}",POINT (8.533618 47.365092),16
55,23,Atelierzürich,47.365063,8.533337,Design Studio,"{'typepoint': {'type': 'Point', 'coordinates': [47.365063, 8.533337]}}",POINT (8.533337 47.365063),15
56,24,Selection 1847,47.374394,8.536392,Design Studio,"{'typepoint': {'type': 'Point', 'coordinates': [47.374394, 8.536392]}}",POINT (8.536392 47.374394),52
57,25,The ApartmentStore,47.373111,8.53386,Design Studio,"{'typepoint': {'type': 'Point', 'coordinates': [47.373111, 8.53386]}}",POINT (8.53386 47.373111),40
58,26,Landesmuseum Boutique,47.378999,8.540955,Design Studio,"{'typepoint': {'type': 'Point', 'coordinates': [47.378999, 8.540955]}}",POINT (8.540955 47.378999),30
59,27,Fotostudio Annabelle,47.373462,8.528469,Design Studio,"{'typepoint': {'type': 'Point', 'coordinates': [47.373462, 8.528469]}}",POINT (8.528469 47.373462),12
60,28,Zwei 25,47.373007,8.526162,Design Studio,"{'typepoint': {'type': 'Point', 'coordinates': [47.373007, 8.526162]}}",POINT (8.526162 47.373007),8
61,35,Icon Worldwide,47.365653,8.536951,Design Studio,"{'typepoint': {'type': 'Point', 'coordinates': [47.365653, 8.536951]}}",POINT (8.536951 47.365653),20
62,0,Starbucks,47.366481,8.548446,Coffee Shop,"{'typepoint': {'type': 'Point', 'coordinates': [47.366481, 8.548446]}}",POINT (8.548446 47.366481),22
63,1,Starbucks,47.371447,8.557069,Coffee Shop,"{'typepoint': {'type': 'Point', 'coordinates': [47.371447, 8.557069]}}",POINT (8.557069 47.371447),2
64,2,Starbucks,47.367857,8.535957,Coffee Shop,"{'typepoint': {'type': 'Point', 'coordinates': [47.367857, 8.535957]}}",POINT (8.535957 47.367857),29
65,3,Starbucks,47.373182,8.537636,Coffee Shop,"{'typepoint': {'type': 'Point', 'coordinates': [47.373182, 8.537636]}}",POINT (8.537636 47.373182),51
66,4,Starbucks,47.378012,8.535073,Café,"{'typepoint': {'type': 'Point', 'coordinates': [47.378012, 8.535073]}}",POINT (8.535073 47.378012),28
67,5,Starbucks,47.38018,8.537348,Coffee Shop,"{'typepoint': {'type': 'Point', 'coordinates': [47.38018, 8.537348]}}",POINT (8.537348 47.38018),22
68,6,Starbucks,47.373454,8.529936,Bistro,"{'typepoint': {'type': 'Point', 'coordinates': [47.373454, 8.529936]}}",POINT (8.529936 47.373454),17
69,7,Starbucks,47.378363,8.539682,Coffee Shop,"{'typepoint': {'type': 'Point', 'coordinates': [47.378363, 8.539682]}}",POINT (8.539682 47.378363),27
70,8,Starbucks Coffee Switzerland,47.36623,8.547143,Bistro,"{'typepoint': {'type': 'Point', 'coordinates': [47.36623, 8.547143]}}",POINT (8.547143 47.36623),22
71,9,Starbucks,47.373578,8.538862,Coffee Shop,"{'typepoint': {'type': 'Point', 'coordinates': [47.373578, 8.538862]}}",POINT (8.538862 47.373578),50
72,10,Starbucks,47.378098,8.534873,Bakery,"{'typepoint': {'type': 'Point', 'coordinates': [47.378098, 8.534873]}}",POINT (8.534873 47.378098),27
73,11,Starbucks,47.364503,8.532085,Coffee Shop,"{'typepoint': {'type': 'Point', 'coordinates': [47.364503, 8.532085]}}",POINT (8.532085 47.364503),9
74,12,Starbucks Coffee,47.368096,8.544963,Bistro,"{'typepoint': {'type': 'Point', 'coordinates': [47.368096, 8.544963]}}",POINT (8.544963 47.368096),22
75,13,Starbucks Coffee Switzerland AG,47.364772,8.553765,Bistro,"{'typepoint': {'type': 'Point', 'coordinates': [47.364772, 8.553765]}}",POINT (8.553765 47.364772),9
76,14,Starbucks,47.376592,8.539988,Café,"{'typepoint': {'type': 'Point', 'coordinates': [47.376592, 8.539988]}}",POINT (8.539988 47.376592),35
77,15,Starbucks Coffee,47.376557,8.544298,Bistro,"{'typepoint': {'type': 'Point', 'coordinates': [47.376557, 8.544298]}}",POINT (8.544298 47.376557),23
78,16,Starbucks Coffee Switzerland AG,47.364772,8.553765,Bistro,"{'typepoint': {'type': 'Point', 'coordinates': [47.364772, 8.553765]}}",POINT (8.553765 47.364772),9
79,17,Starbucks,47.373578,8.538862,Coffee Shop,"{'typepoint': {'type': 'Point', 'coordinates': [47.373578, 8.538862]}}",POINT (8.538862 47.373578),50
80,18,Starbucks Coffee,47.376557,8.544298,Bistro,"{'typepoint': {'type': 'Point', 'coordinates': [47.376557, 8.544298]}}",POINT (8.544298 47.376557),23
81,19,Starbucks,47.364503,8.532085,Coffee Shop,"{'typepoint': {'type': 'Point', 'coordinates': [47.364503, 8.532085]}}",POINT (8.532085 47.364503),9
82,20,Starbucks,47.378098,8.534873,Bakery,"{'typepoint': {'type': 'Point', 'coordinates': [47.378098, 8.534873]}}",POINT (8.534873 47.378098),27
