name,lat,lon,category,type,geometry
Fotoplast,47.367637,8.537452,Design Studio,"{'typepoint': {'type': 'Point', 'coordinates': [47.367637, 8.537452]}}",POINT (8.537452 47.367637)
Modestrom,47.360564,8.552509,Design Studio,"{'typepoint': {'type': 'Point', 'coordinates': [47.360564, 8.552509]}}",POINT (8.552509 47.360564)
biscuitfabrik by Atelier Zürich,47.358264,8.553609,Design Studio,"{'typepoint': {'type': 'Point', 'coordinates': [47.358264, 8.553609]}}",POINT (8.553609 47.358264)
Schweizer Heimatwerk Genossenschaft,47.374254,8.541756,Design Studio,"{'typepoint': {'type': 'Point', 'coordinates': [47.374254, 8.541756]}}",POINT (8.541756 47.374254)
Decolargo Showroom,47.357735,8.554718,Design Studio,"{'typepoint': {'type': 'Point', 'coordinates': [47.357735, 8.554718]}}",POINT (8.554718 47.357735)
Enea,47.374638,8.540287,Design Studio,"{'typepoint': {'type': 'Point', 'coordinates': [47.374638, 8.540287]}}",POINT (8.540287 47.374638)
NAVYBOOT Shop,47.374203,8.538167,Design Studio,"{'typepoint': {'type': 'Point', 'coordinates': [47.374203, 8.538167]}}",POINT (8.538167 47.374203)
Biscuitfabrik,47.365207,8.533697,Design Studio,"{'typepoint': {'type': 'Point', 'coordinates': [47.365207, 8.533697]}}",POINT (8.533697 47.365207)
Blondino,47.365092,8.533618,Design Studio,"{'typepoint': {'type': 'Point', 'coordinates': [47.365092, 8.533618]}}",POINT (8.533618 47.365092)
Atelierzürich,47.365063,8.533337,Design Studio,"{'typepoint': {'type': 'Point', 'coordinates': [47.365063, 8.533337]}}",POINT (8.533337 47.365063)
Selection 1847,47.374394,8.536392,Design Studio,"{'typepoint': {'type': 'Point', 'coordinates': [47.374394, 8.536392]}}",POINT (8.536392 47.374394)
The ApartmentStore,47.373111,8.53386,Design Studio,"{'typepoint': {'type': 'Point', 'coordinates': [47.373111, 8.53386]}}",POINT (8.53386 47.373111)
Landesmuseum Boutique,47.378999,8.540955,Design Studio,"{'typepoint': {'type': 'Point', 'coordinates': [47.378999, 8.540955]}}",POINT (8.540955 47.378999)
Fotostudio Annabelle,47.373462,8.528469,Design Studio,"{'typepoint': {'type': 'Point', 'coordinates': [47.373462, 8.528469]}}",POINT (8.528469 47.373462)
Zwei 25,47.373007,8.526162,Design Studio,"{'typepoint': {'type': 'Point', 'coordinates': [47.373007, 8.526162]}}",POINT (8.526162 47.373007)
Icon Worldwide,47.365653,8.536951,Design Studio,"{'typepoint': {'type': 'Point', 'coordinates': [47.365653, 8.536951]}}",POINT (8.536951 47.365653)
Starbucks,47.366481,8.548446,Coffee Shop,"{'typepoint': {'type': 'Point', 'coordinates': [47.366481, 8.548446]}}",POINT (8.548446 47.366481)
Starbucks,47.371447,8.557069,Coffee Shop,"{'typepoint': {'type': 'Point', 'coordinates': [47.371447, 8.557069]}}",POINT (8.557069 47.371447)
Starbucks,47.367857,8.535957,Coffee Shop,"{'typepoint': {'type': 'Point', 'coordinates': [47.367857, 8.535957]}}",POINT (8.535957 47.367857)
Starbucks,47.373182,8.537636,Coffee Shop,"{'typepoint': {'type': 'Point', 'coordinates': [47.373182, 8.537636]}}",POINT (8.537636 47.373182)
Starbucks,47.378012,8.535073,Coffee Shop,"{'typepoint': {'type': 'Point', 'coordinates': [47.378012, 8.535073]}}",POINT (8.535073 47.378012)
Starbucks,47.373578,8.538862,Coffee Shop,"{'typepoint': {'type': 'Point', 'coordinates': [47.373578, 8.538862]}}",POINT (8.538862 47.373578)
Starbucks,47.378098,8.534873,Coffee Shop,"{'typepoint': {'type': 'Point', 'coordinates': [47.378098, 8.534873]}}",POINT (8.534873 47.378098)
Starbucks,47.364503,8.532085,Coffee Shop,"{'typepoint': {'type': 'Point', 'coordinates': [47.364503, 8.532085]}}",POINT (8.532085 47.364503)
Starbucks,47.38018,8.537348,Coffee Shop,"{'typepoint': {'type': 'Point', 'coordinates': [47.38018, 8.537348]}}",POINT (8.537348 47.38018)
Starbucks,47.373454,8.529936,Coffee Shop,"{'typepoint': {'type': 'Point', 'coordinates': [47.373454, 8.529936]}}",POINT (8.529936 47.373454)
Starbucks,47.378363,8.539682,Coffee Shop,"{'typepoint': {'type': 'Point', 'coordinates': [47.378363, 8.539682]}}",POINT (8.539682 47.378363)
Starbucks Coffee Switzerland,47.36623,8.547143,Coffee Shop,"{'typepoint': {'type': 'Point', 'coordinates': [47.36623, 8.547143]}}",POINT (8.547143 47.36623)
Starbucks Coffee Switzerland AG,47.364772,8.553765,Coffee Shop,"{'typepoint': {'type': 'Point', 'coordinates': [47.364772, 8.553765]}}",POINT (8.553765 47.364772)
Starbucks Coffee,47.368096,8.544963,Coffee Shop,"{'typepoint': {'type': 'Point', 'coordinates': [47.368096, 8.544963]}}",POINT (8.544963 47.368096)
Starbucks Coffee,47.376557,8.544298,Coffee Shop,"{'typepoint': {'type': 'Point', 'coordinates': [47.376557, 8.544298]}}",POINT (8.544298 47.376557)
Starbucks,47.376592,8.539988,Coffee Shop,"{'typepoint': {'type': 'Point', 'coordinates': [47.376592, 8.539988]}}",POINT (8.539988 47.376592)
